image_path,fruit,cluster_id,assigned_grade,boundary_score,label
dataset\train\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.21.44 PM.png,apple,1,B,0.9951,apple_B
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.33.33 PM.png,apple,0,C,0.9947,apple_C
dataset\train\freshapples\Screen Shot 2018-06-08 at 5.15.21 PM.png,apple,1,B,0.9944,apple_B
dataset\test\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.15.21 PM.png,apple,1,B,0.9944,apple_B
dataset\test\freshapples\translation_Screen Shot 2018-06-08 at 5.20.51 PM.png,apple,0,C,0.9934,apple_C
dataset\train\freshapples\translation_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9903,apple_C
dataset\train\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.33.33 PM.png,apple,2,A,0.9895,apple_A
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9877,apple_C
dataset\test\freshapples\rotated_by_60_Screen Shot 2018-06-08 at 5.20.51 PM.png,apple,0,C,0.9871,apple_C
dataset\train\freshapples\translation_Screen Shot 2018-06-08 at 5.05.12 PM.png,apple,0,C,0.9867,apple_C
dataset\test\freshapples\rotated_by_30_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9845,apple_C
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.01.34 PM.png,apple,2,A,0.9843,apple_A
dataset\test\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.22.48 PM.png,apple,2,A,0.9843,apple_A
dataset\test\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.08.05 PM.png,apple,1,B,0.9842,apple_B
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.33.18 PM.png,apple,2,A,0.9835,apple_A
dataset\train\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.22.48 PM.png,apple,2,A,0.9832,apple_A
dataset\train\freshapples\Screen Shot 2018-06-08 at 5.22.48 PM.png,apple,2,A,0.9832,apple_A
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.25.33 PM.png,apple,2,A,0.9829,apple_A
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.16.16 PM.png,apple,0,C,0.9823,apple_C
dataset\train\freshapples\rotated_by_60_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9816,apple_C
dataset\train\freshapples\rotated_by_60_Screen Shot 2018-06-08 at 5.33.18 PM.png,apple,2,A,0.9815,apple_A
dataset\train\freshapples\translation_Screen Shot 2018-06-08 at 5.27.54 PM.png,apple,0,C,0.9806,apple_C
dataset\train\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.17.58 PM.png,apple,1,B,0.9796,apple_B
dataset\test\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.15.21 PM.png,apple,0,C,0.9787,apple_C
dataset\test\freshapples\rotated_by_30_Screen Shot 2018-06-08 at 5.16.16 PM.png,apple,2,A,0.9785,apple_A
dataset\train\freshapples\rotated_by_30_Screen Shot 2018-06-08 at 5.33.18 PM.png,apple,2,A,0.9768,apple_A
dataset\train\freshapples\translation_Screen Shot 2018-06-08 at 5.28.32 PM.png,apple,2,A,0.9767,apple_A
dataset\test\freshapples\rotated_by_60_Screen Shot 2018-06-08 at 5.16.16 PM.png,apple,2,A,0.9755,apple_A
dataset\train\freshapples\Screen Shot 2018-06-08 at 5.12.20 PM.png,apple,1,B,0.9748,apple_B
dataset\train\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.12.20 PM.png,apple,1,B,0.9748,apple_B
dataset\train\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9742,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9739,apple_C
dataset\train\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.33.18 PM.png,apple,2,A,0.9729,apple_A
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.25.02 PM.png,apple,2,A,0.9727,apple_A
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.34.01 PM.png,apple,0,C,0.9714,apple_C
dataset\train\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.00.35 PM.png,apple,1,B,0.97,apple_B
dataset\train\freshapples\rotated_by_45_Screen Shot 2018-06-08 at 5.13.31 PM.png,apple,0,C,0.9685,apple_C
dataset\train\freshapples\rotated_by_30_Screen Shot 2018-06-08 at 5.13.31 PM.png,apple,2,A,0.9682,apple_A
dataset\test\freshapples\rotated_by_75_Screen Shot 2018-06-08 at 5.12.56 PM.png,apple,0,C,0.9678,apple_C
dataset\train\freshapples\vertical_flip_Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9676,apple_C
dataset\train\freshapples\Screen Shot 2018-06-08 at 5.23.51 PM.png,apple,0,C,0.9675,apple_C
dataset\train\freshapples\translation_Screen Shot 2018-06-08 at 5.28.15 PM.png,apple,0,C,0.9657,apple_C
dataset\train\freshapples\rotated_by_15_Screen Shot 2018-06-08 at 5.33.18 PM.png,apple,2,A,0.965,apple_A
dataset\train\freshapples\rotated_by_30_Screen Shot 2018-06-08 at 5.20.51 PM.png,apple,0,C,0.9647,apple_C
dataset\train\freshapples\saltandpepper_Screen Shot 2018-06-08 at 5.12.20 PM.png,apple,1,B,0.963,apple_B
dataset\train\freshbanana\rotated_by_45_Screen Shot 2018-06-12 at 9.51.36 PM.png,banana,1,C,0.9997,banana_C
dataset\train\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 9.55.33 PM.png,banana,2,A,0.9959,banana_A
dataset\train\freshbanana\rotated_by_30_Screen Shot 2018-06-12 at 9.53.57 PM.png,banana,1,C,0.9941,banana_C
dataset\train\freshbanana\vertical_flip_Screen Shot 2018-06-12 at 9.50.16 PM.png,banana,2,A,0.9912,banana_A
dataset\train\freshbanana\Screen Shot 2018-06-12 at 9.50.16 PM.png,banana,2,A,0.9912,banana_A
dataset\train\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 9.53.46 PM.png,banana,0,B,0.9899,banana_B
dataset\train\freshbanana\rotated_by_45_Screen Shot 2018-06-12 at 9.46.30 PM.png,banana,0,B,0.9873,banana_B
dataset\train\freshbanana\saltandpepper_Screen Shot 2018-06-12 at 9.59.35 PM.png,banana,1,C,0.987,banana_C
dataset\train\freshbanana\saltandpepper_Screen Shot 2018-06-12 at 9.50.16 PM.png,banana,1,C,0.9865,banana_C
dataset\test\freshbanana\rotated_by_60_Screen Shot 2018-06-12 at 9.46.30 PM.png,banana,1,C,0.9861,banana_C
dataset\test\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 10.05.07 PM.png,banana,0,B,0.9856,banana_B
dataset\train\freshbanana\rotated_by_45_Screen Shot 2018-06-12 at 9.46.02 PM.png,banana,1,C,0.9851,banana_C
dataset\train\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 9.51.36 PM.png,banana,1,C,0.9851,banana_C
dataset\train\freshbanana\translation_Screen Shot 2018-06-12 at 9.46.02 PM.png,banana,0,B,0.9842,banana_B
dataset\train\freshbanana\rotated_by_75_Screen Shot 2018-06-12 at 9.56.16 PM.png,banana,0,B,0.9828,banana_B
dataset\train\freshbanana\rotated_by_60_Screen Shot 2018-06-12 at 9.46.02 PM.png,banana,1,C,0.9823,banana_C
dataset\train\freshbanana\rotated_by_30_Screen Shot 2018-06-12 at 9.51.36 PM.png,banana,1,C,0.9822,banana_C
dataset\train\freshbanana\rotated_by_75_Screen Shot 2018-06-12 at 9.39.53 PM.png,banana,0,B,0.982,banana_B
dataset\test\freshbanana\rotated_by_60_Screen Shot 2018-06-12 at 9.51.36 PM.png,banana,0,B,0.9813,banana_B
dataset\train\freshbanana\rotated_by_60_Screen Shot 2018-06-12 at 10.06.33 PM.png,banana,1,C,0.9802,banana_C
dataset\train\freshbanana\translation_Screen Shot 2018-06-12 at 9.53.57 PM.png,banana,0,B,0.9801,banana_B
dataset\train\freshbanana\rotated_by_60_Screen Shot 2018-06-12 at 9.57.58 PM.png,banana,0,B,0.9792,banana_B
dataset\train\freshbanana\translation_Screen Shot 2018-06-12 at 9.46.30 PM.png,banana,1,C,0.9784,banana_C
dataset\train\freshbanana\rotated_by_75_Screen Shot 2018-06-12 at 9.46.02 PM.png,banana,1,C,0.9776,banana_C
dataset\train\freshbanana\rotated_by_45_Screen Shot 2018-06-12 at 9.45.46 PM.png,banana,1,C,0.9749,banana_C
dataset\train\freshbanana\rotated_by_75_Screen Shot 2018-06-12 at 9.46.43 PM.png,banana,2,A,0.9747,banana_A
dataset\train\freshbanana\rotated_by_30_Screen Shot 2018-06-12 at 9.46.30 PM.png,banana,1,C,0.974,banana_C
dataset\train\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 9.46.43 PM.png,banana,2,A,0.9736,banana_A
dataset\test\freshbanana\rotated_by_30_Screen Shot 2018-06-12 at 9.59.28 PM.png,banana,0,B,0.9734,banana_B
dataset\train\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 9.38.51 PM.png,banana,0,B,0.9731,banana_B
dataset\train\freshbanana\vertical_flip_Screen Shot 2018-06-12 at 9.51.36 PM.png,banana,1,C,0.9731,banana_C
dataset\train\freshbanana\Screen Shot 2018-06-12 at 9.51.36 PM.png,banana,1,C,0.9731,banana_C
dataset\train\freshbanana\translation_Screen Shot 2018-06-12 at 10.06.19 PM.png,banana,1,C,0.973,banana_C
dataset\train\freshbanana\vertical_flip_Screen Shot 2018-06-12 at 10.06.33 PM.png,banana,2,A,0.9728,banana_A
dataset\train\freshbanana\Screen Shot 2018-06-12 at 10.06.33 PM.png,banana,2,A,0.9728,banana_A
dataset\test\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 10.00.07 PM.png,banana,0,B,0.972,banana_B
dataset\test\freshbanana\rotated_by_75_Screen Shot 2018-06-12 at 9.41.38 PM.png,banana,1,C,0.9717,banana_C
dataset\train\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 9.53.41 PM.png,banana,0,B,0.9714,banana_B
dataset\train\freshbanana\saltandpepper_Screen Shot 2018-06-12 at 10.06.33 PM.png,banana,1,C,0.9695,banana_C
dataset\train\freshbanana\translation_Screen Shot 2018-06-12 at 9.53.22 PM.png,banana,0,B,0.9688,banana_B
dataset\train\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 9.53.51 PM.png,banana,0,B,0.9669,banana_B
dataset\test\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 9.39.53 PM.png,banana,2,A,0.9666,banana_A
dataset\test\freshbanana\vertical_flip_Screen Shot 2018-06-12 at 9.46.30 PM.png,banana,1,C,0.9656,banana_C
dataset\train\freshbanana\saltandpepper_Screen Shot 2018-06-12 at 9.59.41 PM.png,banana,1,C,0.9655,banana_C
dataset\train\freshbanana\rotated_by_15_Screen Shot 2018-06-12 at 9.43.32 PM.png,banana,0,B,0.9654,banana_B
dataset\train\freshoranges\rotated_by_45_Screen Shot 2018-06-13 at 12.16.33 AM.png,orange,0,B,0.9917,orange_B
dataset\train\freshoranges\translation_Screen Shot 2018-06-13 at 12.09.25 AM.png,orange,0,B,0.9869,orange_B
dataset\test\freshoranges\rotated_by_30_Screen Shot 2018-06-13 at 12.00.54 AM.png,orange,2,C,0.9865,orange_C
dataset\train\freshoranges\rotated_by_45_Screen Shot 2018-06-13 at 12.19.36 AM.png,orange,0,B,0.9813,orange_B
dataset\train\freshoranges\saltandpepper_Screen Shot 2018-06-13 at 12.08.58 AM.png,orange,0,B,0.9808,orange_B
dataset\train\freshoranges\rotated_by_30_Screen Shot 2018-06-13 at 12.09.25 AM.png,orange,2,C,0.9807,orange_C
dataset\train\freshoranges\saltandpepper_Screen Shot 2018-06-13 at 12.18.34 AM.png,orange,1,A,0.9762,orange_A
dataset\train\freshoranges\rotated_by_60_Screen Shot 2018-06-13 at 12.09.25 AM.png,orange,2,C,0.9757,orange_C
dataset\train\freshoranges\saltandpepper_Screen Shot 2018-06-13 at 12.17.37 AM.png,orange,1,A,0.9692,orange_A
dataset\test\freshoranges\rotated_by_15_Screen Shot 2018-06-12 at 11.54.55 PM.png,orange,0,B,0.9692,orange_B
dataset\test\freshoranges\rotated_by_60_Screen Shot 2018-06-13 at 12.00.54 AM.png,orange,0,B,0.9667,orange_B
dataset\train\freshoranges\saltandpepper_Screen Shot 2018-06-13 at 12.06.01 AM.png,orange,1,A,0.9658,orange_A
dataset\train\freshoranges\Screen Shot 2018-06-13 at 12.08.58 AM.png,orange,0,B,0.9604,orange_B
dataset\test\freshoranges\vertical_flip_Screen Shot 2018-06-13 at 12.08.58 AM.png,orange,0,B,0.9603,orange_B
dataset\train\freshoranges\translation_Screen Shot 2018-06-13 at 12.14.32 AM.png,orange,0,B,0.9602,orange_B
dataset\train\freshoranges\saltandpepper_Screen Shot 2018-06-12 at 11.55.37 PM.png,orange,1,A,0.96,orange_A
dataset\test\freshoranges\rotated_by_75_Screen Shot 2018-06-13 at 12.20.15 AM.png,orange,2,C,0.9557,orange_C
dataset\test\freshoranges\rotated_by_30_Screen Shot 2018-06-13 at 12.14.09 AM.png,orange,0,B,0.9484,orange_B
dataset\train\freshoranges\translation_Screen Shot 2018-06-13 at 12.16.33 AM.png,orange,2,C,0.9458,orange_C
dataset\train\freshoranges\Screen Shot 2018-06-13 at 12.06.01 AM.png,orange,1,A,0.9452,orange_A
dataset\test\freshoranges\vertical_flip_Screen Shot 2018-06-13 at 12.06.01 AM.png,orange,1,A,0.9452,orange_A
dataset\train\freshoranges\vertical_flip_Screen Shot 2018-06-12 at 11.55.37 PM.png,orange,1,A,0.9445,orange_A
dataset\train\freshoranges\Screen Shot 2018-06-12 at 11.55.37 PM.png,orange,1,A,0.9444,orange_A
dataset\test\freshoranges\rotated_by_75_Screen Shot 2018-06-13 at 12.20.39 AM.png,orange,2,C,0.9444,orange_C
dataset\test\freshoranges\rotated_by_15_Screen Shot 2018-06-13 at 12.20.39 AM.png,orange,2,C,0.9443,orange_C
dataset\train\freshoranges\rotated_by_60_Screen Shot 2018-06-13 at 12.16.16 AM.png,orange,2,C,0.9443,orange_C
dataset\train\freshoranges\rotated_by_75_Screen Shot 2018-06-13 at 12.00.54 AM.png,orange,2,C,0.9385,orange_C
dataset\train\freshoranges\rotated_by_15_Screen Shot 2018-06-13 at 12.18.34 AM.png,orange,0,B,0.9384,orange_B
dataset\test\freshoranges\Screen Shot 2018-06-13 at 12.17.37 AM.png,orange,1,A,0.9384,orange_A
dataset\train\freshoranges\vertical_flip_Screen Shot 2018-06-13 at 12.17.37 AM.png,orange,1,A,0.9384,orange_A
dataset\train\freshoranges\rotated_by_60_Screen Shot 2018-06-13 at 12.20.15 AM.png,orange,0,B,0.9377,orange_B
dataset\train\freshoranges\vertical_flip_Screen Shot 2018-06-13 at 12.03.27 AM.png,orange,0,B,0.9359,orange_B
dataset\train\freshoranges\Screen Shot 2018-06-13 at 12.03.27 AM.png,orange,0,B,0.9359,orange_B
dataset\train\freshoranges\Screen Shot 2018-06-13 at 12.15.39 AM.png,orange,2,C,0.935,orange_C
dataset\train\freshoranges\vertical_flip_Screen Shot 2018-06-13 at 12.15.39 AM.png,orange,2,C,0.935,orange_C
dataset\train\freshoranges\translation_Screen Shot 2018-06-13 at 12.00.54 AM.png,orange,0,B,0.9347,orange_B
dataset\train\freshoranges\rotated_by_30_Screen Shot 2018-06-13 at 12.16.16 AM.png,orange,2,C,0.9323,orange_C
dataset\test\freshoranges\rotated_by_60_Screen Shot 2018-06-13 at 12.14.09 AM.png,orange,0,B,0.9322,orange_B
dataset\train\freshoranges\vertical_flip_Screen Shot 2018-06-13 at 12.18.34 AM.png,orange,1,A,0.9286,orange_A
dataset\test\freshoranges\Screen Shot 2018-06-13 at 12.18.34 AM.png,orange,1,A,0.9285,orange_A
dataset\train\freshoranges\rotated_by_30_Screen Shot 2018-06-13 at 12.15.39 AM.png,orange,0,B,0.9267,orange_B
dataset\train\freshoranges\rotated_by_75_Screen Shot 2018-06-13 at 12.10.04 AM.png,orange,2,C,0.9245,orange_C
dataset\train\freshoranges\rotated_by_30_Screen Shot 2018-06-13 at 12.10.04 AM.png,orange,0,B,0.9242,orange_B
dataset\test\freshoranges\saltandpepper_Screen Shot 2018-06-13 at 12.03.27 AM.png,orange,0,B,0.9239,orange_B
dataset\test\freshoranges\rotated_by_15_Screen Shot 2018-06-13 at 12.20.15 AM.png,orange,0,B,0.9227,orange_B
